screen_name,Lpredict
arshere,1
inyormain,1
ainssdyh,1
aline_adita,1
Arnaz_Asa,3
A_FionyJKT48,1
themaczmancom,7
klubbunga,0
yona_banjar,5
14045archie,2
RistekCSUI,1
info_bnnkpalu,7
humas_jogja,3
orizanoor,2
BBSulsel,7
westinbali,0
PemdaKotaCrb,2
AiraAl,1
AliMasykurMusa,3
aheryawan,2
Swissbel_Jpr,6
uu_ruzhanul,2
kanwilsulteng,7
ptriavia,1
VidiesBandung,2
ahikmatf,1
pegipegi,2
kominfo_jtg,3
asadepan,2
undip,3
beINSPORTSid,5
NizaPuspitaArim,4
FirstMediaWorld,1
kantorbhsjambi,8
aimanricky,2
nttlpmp,8
_atikamutiara,1
MCSCI_PALEMBANG,8
putrikaviani19,6
yudhakhel,1
PMISUMSEL,8
CkdHumas,2
ardyaaW,1
nuicemedia,1
Sulselprov,7
KarrimaNailul,2
komiklieur,2
Yudhapraditya46,3
g_wanimbo,6
RTMCPoldaNTB,0
shepiaaa_,1
ana_khoz,1
persikfckediri,4
jointsugm,1
kevin_adhika,1
ainiciebot,8
pemkabpasuruan_,4
BaliSafari,0
litarianti,1
nimikiilhim,2
DediMetrawan1,8
kpukotablitar,4
mahananda_,1
abidbid,1
jawafess,3
BEMUndip_,3
ridha_sofyan,2
antioffline_,5
IAmKzaan,2
anjar_wilujeng,2
Arkobumen,3
BSN_MAKASSAR,7
bemkm_ugm,3
arkatyanta28,3
desa_cibuyur,2
adindanvl,8
infoFKY,3
JCIndonesia,2
goliathtabuni,6
lpmp_malut,8
bloggerkalsel,5
kabarsumbar_,8
aprilianiken,2
atnisay,1
vincentrompies,1
buahfresh17,3
SinagaEdo,2
kiko_henuk,0
Monicaiphing,1
agekurniawan9,8
ofc_pvjayapura,8
nixon_civil,8
SPxPSS1976,3
aagym,2
humasbatan,1
TVRIKALTIM_,5
MCSCI_WOJ,2
theCitizens_PLK,5
hurufkecil,1
agustox21,1
LL_Palembang,1
LParirie,6
rs_matacicendo,2
Ali_Musri_SP,2
rickysadewa_895,8
bpbd_malangkota,4
Anab_M_B,1
mrmakassar,3
RadioKesehatan,1
BPBDJabar,2
dinkesbali,0
dr_dip,1
agsdomas,8
_dimsky_,1
wisataacehID,8
kompastv_jabar,2
THEBALIBIBLE,0
IsmiAmran,8
diptabaswara,1
AstonKuta,0
Lantas_RestaBwi,4
105kissfmmedan,1
angklung3,2
Sulawesitacom,7
prwttymiselfff,3
TSM_Makassar,1
bptdjabar,2
HendRadianceBJM,1
kadodamate,6
fachmiza,3
mardiasih,3
bpbdjateng,3
www_endhy_xyz,8
Vasudonesta1976,3
bapendajatim,4
rdpatera,0
RRIMalang,4
Alvaredoo,2
ardinarr,1
BeritaJabarku,2
doktermarket,1
NBA_Indonesia,1
DaengNug,2
adn_afandi,1
kumhamkalsel,5
AgunOnly,8
nurfmrembang,3
ianhutomo,1
RicoTude,2
ManjaruniMaryo,1
9ziza9,1
akhirul_rmd,2
bmkgpapua,6
antungriduan,1
antoniomaha,2
NTTbersuara,1
nesyanl,1
BeritaMaluku,6
GosyenTerang,1
DitlantasMaluku,6
loker_sumbar,8
BaliUtd,0
PemkotManado,7
azhary88853559,2
___TJ,1
wikkend,2
UM_1954,4
AkbarRafs,1
sir_amirsyarif,1
aguswidiadaa,2
ai_king128,8
adhitiasofyan,1
hengpaenpaen,2
infoBMKGMaluku,6
FransRuntulalu,1
widhaRP,1
octapiatri_,4
bolalampung,8
HaidarMusyafa,3
DanyBeler,2
dinsosjateng,3
Malukunews,6
_AtalarikSyach,1
bemfkuncen,8
polresjogja,3
ntykertawijaya,8
ojze,1
ZENRoomsID,1
Yance_Yobee,6
m_ikhwanulmus,2
Pemprov_Kaltim,5
smyhpns,1
sastranababan,1
arkham1818,2
antvbola,5
Superbsaiyan,2
SumatranTigerID,8
wowbanten,2
StandupindoBali,1
15natashawilona,1
DimasAHongBulat,2
anyta_browniezt,2
BanggaSurabaya,4
kpu_malut,6
lpmpbanten,2
AnisaRahma_Adi,2
Info_Jayapura,8
teater_kutub,4
balimarinedive,0
Abang_Cetan,2
WempiWetipo,1
Malafucktaka,2
iSatrio,1
ceritamedan,8
NuriiDM_,2
lirajtm,4
ilsaunhas,1
angewwie,1
naufalirfandi,2
Fadhill_Hakim,2
achmadzaky,1
minangkabauku,8
InfoGOBJM,8
4N4kN4G4,2
nita_nit24,2
AlfatihTimur,1
alfadillahsony,8
cosbylarsons,1
PemkotMalang,4
IrhamMaulidy,1
wijangsha,2
Aldhygunawan_,2
ngiqiq,2
MayongFirdaus,2
Taekwondo_UNDIP,3
lebahireng,1
plnsumut_,0
OVJ_kitelagi,1
IDWanderlust,1
ConversationIDN,1
Bappeda_Jateng,3
humasprovjatim,4
AkberJKT,1
beacukaigto,7
frdhaamalia,1
alfunmart,1
DanarSN,2
aminollahmimink,4
StandUpSOLO,3
AangMunawar21,2
